time	tictoc	state	task counter	tube width	phi des	v ropod	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
0.1	0.000939	1	0	1.5	0	5.12762e-05	3.8641	5.98371	-1.97856	4.36472	3.73181	1.33704	0.894212	0.639358	-0.000227082	-0.000802041	0.5	
0.2	0.000864	1	0	1.38185	0.0132974	5.87812e-05	3.8641	5.98371	-1.97856	4.36389	3.7332	1.33661	0.894168	0.636622	0.000329379	0.000407773	0.5	
0.3	0.000853	1	0	1.38074	0.0132426	7.70686e-05	3.8641	5.98371	-1.97856	4.36472	3.72906	1.33573	0.894064	0.641192	-0.000729083	-0.00231814	0.5	
0.4	0.000766	1	0	1.38257	0.013333	0.00769057	3.8641	5.98371	-1.97856	4.36365	3.73402	1.33642	0.894037	0.635428	0.00118995	0.00249675	0.5	
0.5	0.000827	1	0	1.38038	0.0132246	0.015045	3.8641	5.98371	-1.97856	4.36175	3.73577	1.33517	0.893962	0.634288	0.000122318	0.00355101	0.5	
0.6	0.000789	1	0	1.37815	0.0875422	0.0149157	3.8641	5.98371	-1.97856	4.36285	3.73547	1.33707	0.893885	0.634844	0.000968482	0.00276524	0.5	
0.7	0.000786	1	0	1.37933	0.0879321	0.020556	3.8641	5.98371	-1.97856	4.3622	3.7354	1.33698	0.893832	0.633131	0.00105564	0.00241198	0.5	
0.8	0.00083	1	0	1.37875	0.0877387	0.0291336	3.8641	5.98371	-1.97856	4.36408	3.73628	1.33566	0.893685	0.636944	0.00091316	0.00338726	0.5	
0.9	0.000829	1	0	1.38044	0.0132276	0.0397712	3.8641	5.98371	-1.97856	4.36152	3.73622	1.33751	0.893663	0.630676	0.0012306	0.00261842	0.5	
1	0.000755	1	0	1.37798	0.0874853	0.0470282	3.8641	5.98371	-1.97856	4.35704	3.73661	1.33678	0.895711	0.622394	0.000835913	0.00271248	0.5	
1.1	0.000783	1	0	1.37251	0.0856751	0.0615172	3.8641	5.98371	-1.97856	4.35531	3.73368	1.3372	0.899421	0.620045	0.000676326	0.00153927	0.5	
1.2	0.000784	1	0	1.36966	0.0847309	0.0704201	3.8641	5.98371	-1.97856	4.36045	3.73654	1.33456	0.899414	0.626821	0.00251412	0.00515451	0.5	
1.3	0.000821	1	0	1.37399	0.0861623	0.0742412	3.8641	5.98371	-1.97856	4.35783	3.735	1.33622	0.902667	0.623001	0.00211007	0.00459092	0.5	
1.4	0.000802	1	0	1.37018	0.0849029	0.0777575	3.8641	5.98371	-1.97856	4.36116	3.73048	1.33805	0.908207	0.628021	0.00342507	0.00263652	0.5	
1.5	0.00071	1	0	1.3717	0.0854063	0.0986659	3.8641	5.98371	-1.97856	4.37026	3.73245	1.33734	0.908198	0.641892	0.00499986	0.0051528	0.5	
1.6	0.000633	1	0	1.38009	0.0132103	0.111172	3.84204	5.96976	-1.95285	4.36599	3.7231	1.33784	0.937438	0.642526	0.00369736	0.00947466	0.5	
1.7	0.000815	1	0	1.36351	0.0690274	0.121979	3.84204	5.96976	-1.95285	4.36097	3.71768	1.33897	0.941574	0.635191	0.00279104	0.00586006	0.5	
1.8	0.000824	1	0	1.35782	0.0671433	0.128531	3.84204	5.96976	-1.95285	4.34369	3.73394	1.33807	0.951809	0.606898	-0.00252125	0.0134766	0.5	
1.9	0.000847	1	0	1.33211	0.058631	0.154332	3.84204	5.96976	-1.95285	4.34381	3.743	1.33836	0.958063	0.60681	-0.00281284	0.0172641	0.5	
2	0.000845	1	0	1.32697	0.0569341	0.15849	3.84204	5.96976	-1.95285	4.33829	3.73263	1.3377	0.969649	0.600406	-0.00354111	0.00909453	0.5	
2.1	0.000784	1	0	1.31824	0.0540465	0.187795	3.84204	5.96976	-1.95285	4.33554	3.73873	1.33832	0.977259	0.593728	-0.00364654	0.00985038	0.5	
2.2	0.00083	1	0	1.31034	0.0514352	0.201179	3.84204	5.96976	-1.95285	4.32797	3.72055	1.33855	1.02538	0.587433	-0.00205505	0.0132076	0.5	
2.3	0.000791	1	0	1.28316	0.0424652	0.218402	3.84204	5.96976	-1.95285	4.32955	3.69582	1.33883	1.071	0.598359	-0.000827344	0.0116131	0.5	
2.4	0.000767	1	0	1.26767	0.0373601	0.228454	3.79036	5.92349	-1.94703	4.33252	3.67444	1.34295	1.10761	0.605783	0.00303623	0.00713743	0.5	
2.5	0.000754	1	0	1.25725	0.0541355	0.261155	3.79036	5.92349	-1.94703	4.32914	3.69762	1.344	1.13448	0.609638	-0.000479071	0.0139541	0.5	
2.6	0.000775	1	0	1.23511	0.0468147	0.28246	3.79036	5.92349	-1.94703	4.31753	3.71914	1.34159	1.16532	0.613993	-0.0140317	0.0183099	0.5	
2.7	0.00075	1	0	1.23511	0.0468147	0.287263	3.79036	5.92349	-1.94703	4.32574	3.72551	1.34144	1.16969	0.6326	-0.0143432	0.0221199	0.5	
2.8	0.000785	1	0	1.23511	0.0468147	0.305077	3.76252	5.86923	-1.94603	4.31372	3.72049	1.34147	1.18325	0.617923	-0.0158262	0.0189028	0.5	
2.9	0.000691	1	0	1.23511	0.0553279	0.332268	3.76252	5.86923	-1.94603	4.32203	3.72499	1.3429	1.18788	0.622736	-0.0110165	0.0200355	0.5	
3	0.000769	1	0	1.23511	0.0553279	0.355559	3.76252	5.86923	-1.94603	4.32924	3.7746	1.34316	1.18094	0.621181	-0.00195509	0.0655152	0.5	
3.1	0.000703	1	0	1.23511	0.0553279	0.370172	3.76252	5.86923	-1.94603	4.32871	3.78183	1.34551	1.19029	0.623182	-0.00230849	0.0640796	0.5	
3.2	0.000743	1	0	1.23511	0.0553279	0.395911	3.72543	5.76535	-1.94324	4.33228	3.78624	1.34454	1.20169	0.615904	-0.00329513	0.0547646	0.5	
3.3	0.000718	1	0	1.23511	0.0603421	0.405239	3.72543	5.76535	-1.94324	4.3233	3.7847	1.34435	1.21612	0.609081	-0.00612465	0.055563	0.5	
3.4	0.000886	1	0	1.23511	0.0603421	0.433527	3.72543	5.76535	-1.94324	4.32506	3.79141	1.34679	1.20891	0.609978	-0.00472843	0.0512452	0.5	
3.5	0.000836	1	0	1.23511	0.0603421	0.479879	3.6956	5.68788	-1.94079	4.32736	3.79699	1.34685	1.20985	0.608817	-0.0032872	0.0526059	0.5	
3.6	0.000754	1	0	1.23511	0.0651111	0.493567	3.6956	5.68788	-1.94079	4.32781	3.82064	1.34712	1.21205	0.603382	0.000176117	0.0683301	0.5	
3.7	0.000764	1	0	1.23511	0.0651111	0.509739	3.6956	5.68788	-1.94079	4.33755	3.85537	1.34571	1.20718	0.604547	0.00657597	0.0890556	0.5	
3.8	0.000822	1	0	1.23511	0.0651111	0.550371	3.66303	5.60327	-1.93558	4.3401	3.86157	1.34554	1.20919	0.602157	0.00687704	0.0823179	0.5	
3.9	0.000721	1	0	1.23511	0.0678036	0.546194	3.66303	5.60327	-1.93558	4.33195	3.87683	1.34353	1.22853	0.58376	0.00554599	0.0810724	0.5	
4	0.000739	1	0	1.23511	0.0678036	0.583609	3.62729	5.49155	-1.9363	4.33492	3.91069	1.34381	1.20566	0.587508	0.00709603	0.0931446	0.5	
4.1	0.000709	1	0	1.23511	0.0742605	0.599564	3.62729	5.49155	-1.9363	4.31998	3.91944	1.34542	1.21759	0.556976	0.00570198	0.0881526	0.5	
4.2	0.000819	1	0	1.23511	0.0742605	0.634903	3.62729	5.49155	-1.9363	4.32256	3.93249	1.34394	1.22335	0.556974	0.00693648	0.0865275	0.5	
4.3	0.000681	1	0	1.23511	0.0742605	0.660308	3.57577	5.30176	-1.92324	4.32322	3.94379	1.34188	1.23747	0.556961	0.0059015	0.0855272	0.5	
4.4	0.000778	1	0	1.23511	0.0649976	0.679568	3.57577	5.30176	-1.92324	4.33169	3.9349	1.3417	1.2388	0.556881	0.0141612	0.0649243	0.5	
4.5	0.000619	1	0	1.23511	0.0649976	0.700589	3.52673	5.12936	-1.91199	4.3396	3.93254	1.3421	1.23497	0.556803	0.0196645	0.0613606	0.5	
