time	tictoc	state	task counter	tube width	phi des	v ropod odom	v ropod cmd	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
0.1	0.001247	1	0	1.5	0	0	0.1	3.36375	4.08085	-2.11633	0	0	0	0	0	0	0	1	
0.2	0.000845	2	0	1.5	0.15708	0.1	0.2	3.36134	4.08435	-2.12004	0	0	0	0	0	0	0	1	
0.3	0.000802	2	0	1.5	0.188253	0.2	0.3	3.35406	4.09479	-2.1312	0	0	0	0	0	0	0	1	
0.4	0.000897	2	0	1.5	0.226172	0.3	0.335	3.34723	4.07028	-2.12437	0	0	0	0	0	0	0	0.35	
0.5	0.000842	2	0	1.5	0.216057	0.335	0.335	3.33388	4.04132	-2.12071	0	0	0	0	0	0	0	0	
0.6	0.000771	2	0	1.5	0.222221	0.335	0.335	3.32181	4.01008	-2.11504	0	0	0	0	0	0	0	0	
0.7	0.000885	2	0	1.5	0.221205	0.335	0.335	3.31072	3.97848	-2.10857	0	0	0	0	0	0	0	0	
0.8	0.00084	2	0	1.5	0.216678	0.335	0.335	3.29954	3.94691	-2.10239	0	0	0	0	0	0	0	0	
0.9	0.00097	2	0	1.5	0.212832	0.335	0.335	3.28847	3.91529	-2.09628	0	0	0	0	0	0	0	0	
1	0.000842	2	0	1.5	0.208889	0.335	0.235	3.20619	4.10371	-2.12407	0	0	0	0	0	0	0	-1	
1.1	0.000857	2	0	1.5	0.365969	0.235	0.335	3.19783	4.07699	-2.11753	0	0	0	0	0	0	0	1	
1.2	0.000872	2	0	1.5	0.4014	0.335	0.335	3.18939	4.04938	-2.11078	0	0	0	0	0	0	0	0	
1.3	0.000835	2	0	1.5	0.395808	0.335	0.335	3.18031	4.01722	-2.10255	0	0	0	0	0	0	0	0	
1.4	0.000831	2	0	1.5	0.388448	0.335	0.335	3.14981	4.01377	-2.09577	0	0	0	0	0	0	0	0	
1.5	0.000848	2	0	1.5	0.400694	0.335	0.335	3.14488	3.98065	-2.08416	0	0	0	0	0	0	0	0	
1.6	0.000774	2	0	1.5	0.387145	0.335	0.335	3.14573	3.97431	-2.06084	0	0	0	0	0	0	0	0	
1.7	0.000884	2	0	1.5	0.362307	0.335	0.335	3.14199	3.94101	-2.04919	0	0	0	0	0	0	0	0	
1.8	0.000858	2	0	1.5	0.347917	0.335	0.335	3.13963	3.92523	-2.02088	0	0	0	0	0	0	0	0	
1.9	0.000874	2	0	1.5	0.318695	0.335	0.335	3.13719	3.89177	-2.00926	0	0	0	0	0	0	0	0	
2	0.000918	2	0	1.5	0.30348	0.335	0.335	3.13878	3.85291	-1.99329	0	0	0	0	0	0	0	0	
2.1	0.000799	2	0	1.5	0.277815	0.335	0.335	3.1363	3.81945	-1.98251	0	0	0	0	0	0	0	0	
2.2	0.00095	2	0	1.5	0.245694	0.335	0.335	3.13841	3.78493	-1.97158	0	0	0	0	0	0	0	0	
2.3	0.000745	2	0	1.5	0.206613	0.335	0.335	3.13516	3.75154	-1.96214	0	0	0	0	0	0	0	0	
2.4	0.000823	2	0	1.5	0.182295	0.335	0.335	3.13171	3.71816	-1.95316	0	0	0	0	0	0	0	0	
2.5	0.00089	2	0	1.5	0.160448	0.335	0.335	3.14092	3.70756	-1.94563	0	0	0	0	0	0	0	0	
2.6	0.0009	2	0	1.5	0.131659	0.335	0.335	3.13594	3.67439	-1.93857	0	0	0	0	0	0	0	0	
2.7	0.000878	2	0	1.5	0.117648	0.335	0.335	3.13045	3.64131	-1.93221	0	0	0	0	0	0	0	0	
